"txn_time","txn_date","order_id","uid","shop_id","shop_owner_uid","gmv","rebate"
"2019-10-30 17:43:00","2019-10-30 00:00:00",142081124,101971467,10979,102817559,85000,20000
"2019-10-30 17:43:00","2019-10-30 00:00:00",142081212,101971467,10979,102817559,20000,0
"2019-10-30 18:43:00","2019-10-30 00:00:00",142093328,101163947,10979,102817559,75000,20000
"2019-10-30 19:01:00","2019-10-30 00:00:00",142097268,101619381,10979,102817559,75000,20000
"2019-10-30 19:02:00","2019-10-30 00:00:00",142097461,101140170,10979,102817559,75000,20000
"2019-10-30 19:06:00","2019-10-30 00:00:00",142098442,101295367,10979,102817559,75000,20000
"2019-10-30 20:45:00","2019-10-30 00:00:00",142123867,101785843,10979,102817559,80000,20000
"2019-10-30 22:52:00","2019-10-30 00:00:00",142152506,101518662,10979,102817559,75000,20000
"2019-10-30 23:04:00","2019-10-30 00:00:00",142154714,102661412,10979,102817559,85000,20000
"2019-10-30 23:04:00","2019-10-30 00:00:00",142154765,101867621,10979,102817559,70000,20000
"2019-10-30 23:27:00","2019-10-30 00:00:00",142158574,101134313,10979,102817559,70000,20000
"2019-10-30 23:28:00","2019-10-30 00:00:00",142158790,1950383,10979,102817559,75000,20000
"2019-10-30 23:39:00","2019-10-30 00:00:00",142160136,103486827,10979,102817559,70000,20000
"2019-10-30 20:16:00","2019-10-30 00:00:00",142117114,101945432,10982,103875628,46000,13800
"2019-10-30 22:29:00","2019-10-30 00:00:00",142147620,103349475,10982,103875628,140000,20000
"2019-10-30 13:37:00","2019-10-30 00:00:00",142008921,102161515,1141,100940480,70000,20000
"2019-10-30 12:45:00","2019-10-30 00:00:00",141992972,101850007,1149,102892360,100000,20000
"2019-10-30 11:29:00","2019-10-30 00:00:00",141968349,101388101,1187,103013724,70000,20000
"2019-10-30 11:30:00","2019-10-30 00:00:00",141968728,101388101,1187,103013724,20000,0
"2019-10-30 14:44:00","2019-10-30 00:00:00",142034827,100614916,1240,103015138,1,0
"2019-10-30 12:32:00","2019-10-30 00:00:00",141989612,101354850,1442,100915993,153000,20000
"2019-10-30 11:53:00","2019-10-30 00:00:00",141975522,100555212,1447,100512520,310000,20000
"2019-10-30 14:37:00","2019-10-30 00:00:00",142031386,102514760,1496,100888041,210000,20000
"2019-10-30 16:58:00","2019-10-30 00:00:00",142072767,101776767,1496,100888041,465000,20000
"2019-10-30 19:57:00","2019-10-30 00:00:00",142112098,103397819,1550,101598553,41000,12300
"2019-10-30 11:00:00","2019-10-30 00:00:00",141959079,101254541,166,100718637,116000,20000
"2019-10-30 19:29:00","2019-10-30 00:00:00",142105025,101461807,1717,1645602,230000,20000
"2019-10-30 15:37:00","2019-10-30 00:00:00",142052782,100946412,1748,102933986,94000,20000
"2019-10-30 13:13:00","2019-10-30 00:00:00",142001271,1924682,1848,103023896,80000,20000
"2019-10-30 21:00:00","2019-10-30 00:00:00",142127434,100445291,1955,103049646,100000,20000
"2019-10-30 15:32:00","2019-10-30 00:00:00",142051020,100624802,2038,101172735,30000,9000
"2019-10-30 17:04:00","2019-10-30 00:00:00",142073750,100623113,2038,101172735,80000,20000
"2019-10-30 17:04:00","2019-10-30 00:00:00",142073760,100611564,2038,101172735,67000,0
"2019-10-30 17:46:00","2019-10-30 00:00:00",142081650,104027194,2038,101172735,33000,9900
"2019-10-30 20:29:00","2019-10-30 00:00:00",142120108,102582948,2038,101172735,60000,18000
"2019-10-30 19:01:00","2019-10-30 00:00:00",142097199,100874159,2057,103026556,73000,20000
"2019-10-30 17:16:00","2019-10-30 00:00:00",142075871,104042988,2078,103066552,100000,20000
"2019-10-30 12:51:00","2019-10-30 00:00:00",141994408,100393963,2084,102582879,123,0
"2019-10-30 12:38:00","2019-10-30 00:00:00",141991308,100060089,2088,100510503,50000,15000
"2019-10-30 12:38:00","2019-10-30 00:00:00",141991407,100060089,2088,100510503,55000,0
"2019-10-30 09:51:00","2019-10-30 00:00:00",141943095,100173458,2118,100526353,116000,20000
"2019-10-30 19:07:00","2019-10-30 00:00:00",142098794,104057790,213,100808839,86400,20000
"2019-10-30 20:23:00","2019-10-30 00:00:00",142118716,101045049,213,100808839,30600,9180
"2019-10-30 22:59:00","2019-10-30 00:00:00",142153756,104029244,2144,103023297,70000,20000
"2019-10-30 05:46:00","2019-10-30 00:00:00",141913034,104049030,2186,100890595,2160000,20000
"2019-10-30 17:46:00","2019-10-30 00:00:00",142081672,100378526,2205,102925881,73000,20000
"2019-10-30 21:11:00","2019-10-30 00:00:00",142129800,103515440,2208,101737430,357000,20000
"2019-10-30 08:38:00","2019-10-30 00:00:00",141927809,102892779,2264,103071750,40000,12000
"2019-10-30 21:14:00","2019-10-30 00:00:00",142130518,102978695,2264,103071750,84000,20000
"2019-10-30 12:30:00","2019-10-30 00:00:00",141989025,101007306,2365,103081373,240000,20000
"2019-10-30 09:03:00","2019-10-30 00:00:00",141932479,101773465,2420,101163904,15000,4500
"2019-10-30 11:47:00","2019-10-30 00:00:00",141973826,1511355,2420,101163904,60000,18000
"2019-10-30 11:48:00","2019-10-30 00:00:00",141973926,1511355,2420,101163904,40000,0
"2019-10-30 12:40:00","2019-10-30 00:00:00",141991842,100915623,2420,101163904,20000,6000
"2019-10-30 12:40:00","2019-10-30 00:00:00",141991904,103279425,2420,101163904,67000,20000
